ChrPos	Weight
chr12_80525034	0.076858003
chr12_84941802	-0.046133295
chr12_9253561	0.001992043
chr13_111552067	0.262792241
chr1_32172827	0.042746059
chr13_24862270	-0.03998651
chr13_52001947	0.074008658
chr13_52002011	0.175293658
chr13_53538472	0.079173488
chr13_55003209	0.072626153
chr13_55826569	0.058199768
chr13_94706693	0.166517014
chr13_95604519	-0.007893334
chr14_107690327	-0.037171303
chr14_21990885	0.181772189
chr14_21990914	0.037536105
chr14_21990921	0.023000458
chr14_31669338	-0.110795142
chr14_34769972	0.15266455
chr14_48655768	0.128806728
chr14_51989297	-0.047106221
chr14_52106938	0.171023542
chr14_63241599	0.234234972
chr14_63944003	0.107362346
chr14_64067080	-0.105269481
chr14_65609815	-0.189194464
chr14_70079118	0.075426742
chr14_70079688	0.052288703
chr14_70079693	0.164688295
chr14_70080049	0.15748524
chr14_70453212	-0.027529674
chr14_79661542	0.124004158
chr15_37233859	0.30794264
chr15_37234411	0.008432574
chr15_75709208	0.097747251
chr15_76090136	0.236437752
chr15_76457641	0.060581326
chr15_78326322	0.084799965
chr15_78922882	-0.200845117
chr15_79000743	0.113965333
chr15_80051688	-0.281406113
chr15_80051712	-0.093782965
chr15_80978633	-0.124243076
chr15_84772640	-0.051362702
chr15_85215256	0.125661616
chr15_85673573	-0.548858268
chr1_58803092	-0.023188586
chr1_59381708	-0.000692808
chr1_59541563	-0.044419261
chr15_96658328	0.454581316
chr15_98780511	0.008516723
chr15_99334767	0.025680477
chr16_10502211	0.408381764
chr16_18586362	-0.132951192
chr16_20619766	0.052264506
chr16_21204798	0.270534938
chr16_21204801	0.340743938
chr16_21204911	0.044991701
chr16_21247020	0.010320382
chr16_22119164	0.420334092
chr16_28596353	-0.018179565
chr16_30821331	-0.106683232
chr16_32113408	-0.144771849
chr1_64734908	0.102786705
chr1_64735007	0.00510477
chr16_4958037	-0.231594068
chr16_5137270	0.038640573
chr16_87671494	-0.016231628
chr16_91321122	0.245360617
chr17_10487124	-0.070011401
chr17_27075705	-0.071383849
chr17_27564812	-0.084089672
chr17_28532127	-0.202909958
chr17_28926372	-0.105107736
chr17_30865119	-0.241598984
chr17_35068719	-0.130621735
chr1_73895285	0.048917968
chr17_47501435	0.022662906
chr17_48031669	0.296395485
chr17_66269074	-0.039890983
chr17_67913883	-0.013819733
chr17_70925252	-0.015002427
chr17_79950114	0.010264228
chr17_81001025	-0.023597036
chr17_83079232	0.064945974
chr17_84114603	-0.074828349
chr17_85044948	0.107146902
chr18_13321754	-0.02266355
chr18_3499016	0.236711652
chr18_37296763	0.051219754
chr18_37662130	0.099427552
chr18_44308474	0.033523674
chr18_52825623	0.133534926
chr18_61065811	0.203323007
chr18_64531400	0.029203904
chr18_67401984	0.03825481
chr18_69666861	-0.091059151
chr18_75494893	0.323939365
chr18_76057938	0.002309536
chr18_82743404	-0.053085652
chr19_14892495	0.202706734
chr19_24861359	0.02298911
chr19_29684049	-0.145374293
chr19_37685983	0.205333232
chr19_40303385	0.100750466
chr19_41283218	0.125986715
chr19_4268707	-0.132984447
chr19_43896820	-0.032714345
chr19_44363901	0.009358644
chr19_44760980	0.0847378
chr19_4989810	-0.029375143
chr19_5745658	-0.073040171
chr19_61225313	0.084816028
chr19_61225818	0.05286969
chr19_9100780	-0.12886436
chr19_9100789	-0.619169906
chr2_109676136	0.308605169
chr2_109676149	0.001146625
chr2_119174554	-0.227541165
chr2_120085263	-0.130775332
chr2_131953144	0.1994056
chr2_148043886	0.03389925
chr2_148043891	0.277783196
chr2_148043930	0.36420411
chr2_151709106	0.034971681
chr2_152337765	-0.079190295
chr2_156730972	-0.050305889
chr2_158191367	-0.062624644
chr2_164168129	0.53130706
chr2_164168131	0.490799571
chr2_164168144	0.036851176
chr2_164168156	0.017577984
chr2_164168173	0.031600731
chr2_164168176	0.269040598
chr2_164168179	0.333016152
chr2_164168182	0.088577959
chr2_164168189	0.394110082
chr2_164168203	0.110713842
chr2_164168686	0.036719133
chr2_165543887	0.04994855
chr2_166204366	-0.129896726
chr2_168799390	0.136866173
chr2_168876986	0.013243955
chr2_173399991	-0.185832438
chr2_179522137	0.471782464
chr2_180289849	0.096150154
chr2_180354857	0.042531037
chr2_28196655	0.066836865
chr2_30613842	-0.057399765
chr2_30626100	-0.173628567
chr2_34641097	-0.183351926
chr2_34671176	0.09344637
chr2_37793382	0.012078886
chr2_49728509	-0.003863349
chr2_58963125	-0.02367322
chr2_73281033	0.145862189
chr2_73281421	0.055419409
chr2_74763356	0.029035735
chr2_93192448	0.055237054
chr2_98667167	0.006146666
chr3_125591744	0.048457297
chr3_16545612	0.029495225
chr3_27169964	0.014865254
chr3_33217717	0.044665911
chr3_52241287	0.101540735
chr3_83843996	-0.001685781
chr3_86547198	0.00841673
chr3_86547210	0.082338974
chr3_86547211	0.017376581
chr3_87515896	-0.018908814
chr3_89523125	0.049678304
chr4_103841330	0.023145129
chr4_104367375	0.388440893
chr4_118554827	0.079643312
chr4_121040204	0.016368681
chr4_123105472	0.169988362
chr4_124603895	0.031410156
chr4_129998661	-0.249130453
chr4_136148882	-0.090410511
chr4_136238652	0.014790538
chr4_136834231	-0.163625519
chr4_136946451	-0.174517834
chr4_137729050	0.002254076
chr4_138564540	8.46e-05
chr4_141325832	-0.061222093
chr4_142761905	-0.06521315
chr4_144627616	-0.369697185
chr4_146580200	0.588140342
chr4_146580225	0.336095347
chr4_146580228	0.023894351
chr4_147918758	-0.027277954
chr4_152126752	0.091194278
chr4_153851462	0.108409589
chr4_154705247	0.003413353
chr4_21679126	0.135626757
chr4_21679135	0.020207792
chr4_32258402	-0.088306198
chr4_36951762	0.31625099
chr4_42952721	-0.129510792
chr4_44363810	-0.091529333
chr4_44598090	0.155795172
chr4_47948010	-0.263480939
chr4_53264125	-0.135458124
chr4_73790884	0.498364993
chr4_78211954	0.142042266
chr4_89688203	-0.088278741
chr5_101970021	-0.097974163
chr5_101970034	-0.160917585
chr5_106711805	-0.168498958
chr5_108550102	0.100857913
chr5_110363789	0.049190299
chr5_111229202	-0.248391921
chr5_111418846	0.051071074
chr5_111419354	0.045094144
chr5_112428490	0.240104491
chr5_113214572	-0.019730726
chr5_115632794	0.080853381
chr5_120197771	-0.039698848
chr5_120561110	0.075756267
chr5_120710184	0.153377528
chr5_121960981	0.274315579
chr5_124957921	-0.223483085
chr5_129268740	0.076277708
chr5_129590711	0.001717957
chr5_135869170	0.115261974
chr5_139931975	0.184842623
chr5_140612544	-0.156094935
chr5_142385360	-0.148247616
chr5_142949722	-0.030886581
chr5_143157574	0.142076793
chr5_143253447	0.076663424
chr5_143253681	0.024341974
chr5_148978428	0.205179781
chr5_24592109	-0.082038885
chr5_24592237	-0.203575125
chr5_61232596	-0.044119077
chr5_61288491	0.023016576
chr5_63964577	-0.101117758
chr5_77264827	-0.249260082
chr5_79993284	-0.092205566
chr6_100482797	0.019919847
chr6_100551710	-0.036946603
chr6_118251944	-0.130384864
chr6_125360388	-0.138827165
chr6_127060639	-0.162688591
chr6_127471375	0.045085505
chr6_127471404	0.00257426
chr6_128296751	-0.102790232
chr6_128606520	-0.099962304
chr6_129451736	-0.210989076
chr6_129451767	-0.104450337
chr6_130689875	0.024397512
chr6_16253446	-0.059274763
chr6_31126683	-0.050335236
chr6_33078527	0.152095906
chr6_55330826	-0.242904623
chr6_58906778	0.265403776
chr6_72555903	0.173525995
chr6_83161661	0.001843966
chr6_83186160	0.120611854
chr6_83404530	-0.02477008
chr6_85126110	0.661890455
chr6_90232892	0.067030336
chr7_101504584	0.146038464
chr7_107210392	0.337324308
chr7_107210415	0.114660267
chr7_107210422	0.049472014
chr7_110094545	-0.020613346
chr7_110923617	0.091907952
chr7_118690290	-0.015528385
chr7_126963445	0.110020403
chr7_132853012	0.160615685
chr7_133124778	0.623618701
chr7_134414346	-0.170198664
chr7_14622483	0.752773953
chr7_14622493	0.05253356
chr7_14622498	0.394462654
chr7_14622507	0.40912709
chr7_14622513	0.586718699
chr7_14622937	0.049700826
chr7_16472419	-0.047863037
chr7_16885497	0.185645224
chr7_16885499	0.071235687
chr7_25376491	-0.145281883
chr7_31115861	0.055844816
chr7_43675422	0.403467818
chr7_45425146	-0.203351433
chr7_49160482	-0.154451461
chr7_58836972	0.19138904
chr7_58836996	0.140359844
chr7_73366793	-0.033398239
chr7_76732756	0.117791408
chr7_80238490	0.067552658
chr7_81863270	-0.328385511
chr7_97325666	0.094350048
chr7_98111512	0.119782073
chr8_110168311	1.103317892
chr8_110168313	0.597364919
chr8_110168316	0.283760843
chr8_110168323	0.172559863
chr8_111890861	0.472669504
chr8_117281170	-0.0459441
chr8_119612881	0.041182554
chr8_120378626	-0.495765912
chr8_120678448	-0.003145153
chr8_121043779	0.098129403
chr8_125492817	-0.096007255
chr8_126539882	-0.270872002
chr8_23023073	-0.244011115
chr8_26973674	0.32363334
chr8_50916195	0.095638011
chr8_70087118	0.066697141
chr8_70330125	-0.071759665
chr8_70833634	-0.107007438
chr8_79382872	-0.067306968
chr8_83870166	-0.014202633
chr8_84872983	0.152377585
chr8_91060908	-0.05520084
chr8_92437304	0.01372244
chr8_94673138	-0.170601203
chr9_111311700	0.461174783
chr9_111311719	0.100234703
chr9_111311727	0.226809634
chr9_121938269	0.258905725
chr9_121938292	0.049013635
chr9_21030087	-0.235786605
chr9_24328496	-0.026182238
chr9_24328536	-0.079485582
chr9_46498913	0.024028905
chr9_49341175	0.026108262
chr9_57681902	-0.200640849
chr9_57939796	-0.005876879
chr9_57939812	-0.544827269
chr9_64085222	0.10691327
chr9_69812651	0.07616765
chr9_82609144	0.119363828
